2023 07 JULY,YELLOWSTONE CUTTHROAT,498,2.9,LAKE CREEK,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,660,9.4,LICK CREEK,SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,6002,2.9,LITTLE BIGHORN RIVER (ABV DG),SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,525,9.4,PETE'S POND,FREMONT
2023 07 JULY,YELLOWSTONE CUTTHROAT,275,9.4,TONGUE RL (SNKS-UP),SHERIDAN
2023 07 JULY,YELLOWSTONE CUTTHROAT,525,9.4,TROUT CREEK LAKE,FREMONT
2023 07 JULY,YELLOWSTONE CUTTHROAT,2162,8.9,WIND RIVER LAKE,TETON
2023 06 JUNE,BEAR RIVER CUTTHROAT,16426,6.8,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,BEAR RIVER CUTTHROAT,3450,8.7,SULPHUR CREEK RESERVOIR,UINTA
2023 06 JUNE,BEAR RIVER CUTTHROAT,4768,7.3,UP ICE POND LOWER,UINTA
2023 06 JUNE,BLUEGILL,60,2.2,BADWATER POND,FREMONT
2023 06 JUNE,BLUEHEAD SUCKER,1000,0,MCKINNEY CREEK,CARBON
2023 06 JUNE,BLUEHEAD SUCKER,1258,0,MUDDY CREEK (LOWER),CARBON
2023 06 JUNE,BROOK TROUT,301,5.1,DUCK POND,SHERIDAN
2023 06 JUNE,BROOK TROUT,977,4.8,FOOTE CREEK,CARBON
2023 06 JUNE,BROOK TROUT,1500,4.6,GOOD RESERVOIR 2,CARBON
2023 06 JUNE,BROOK TROUT,1000,4.5,HORSE CREEK 2 (ALB-HDWTR),ALBANY
2023 06 JUNE,BROOK TROUT,1000,4.8,MULE CREEK,CARBON
2023 06 JUNE,BROOK TROUT,545,4.5,OTTER CREEK,NATRONA
2023 06 JUNE,BROOK TROUT,12483,4.7,POLE MTN. BEAVER PDS.,ALBANY
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 1,CARBON
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 2,CARBON
2023 06 JUNE,BROOK TROUT,499,4.8,WICK RESERVOIR 3,CARBON
2023 06 JUNE,BROWN TROUT,1005,4.7,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,BROWN TROUT,500,4.1,CRYSTAL RES,LARAMIE
2023 06 JUNE,BROWN TROUT,5002,4.1,HATTIE LAKE,ALBANY
2023 06 JUNE,BROWN TROUT,2517,4.1,TWIN BUTTES RES,ALBANY
2023 06 JUNE,BROWN TROUT,5002,4.1,WHEATLAND RESERVOIR 3,ALBANY
2023 06 JUNE,COLORADO RIVER CUTTHROAT,254,8.3,BUCK CREEK RESERVOIR,SUBLETTE
2023 06 JUNE,COLORADO RIVER CUTTHROAT,405,12.2,MOUNTAIN VIEW POND,UINTA
2023 06 JUNE,COLORADO RIVER CUTTHROAT,100,7.5,SAWMILL CREEK,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,1025,8.4,BARBER LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,2037,8.2,BECK LAKE,PARK
2023 06 JUNE,EAGLE LAKE RBT,125,8.4,BIG GOOSE CR(2 BEAVER CR),SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,917,8.8,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,11066,8.2,BOULDER LAKE,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,5000,9.1,BROOKS LAKE,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,1069,9.1,BROOKS LAKE CREEK,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,300,8.4,BUFFALO WETLANDS POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,286,8.5,COLONEL ROGERS POND,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,1614,8.5,COOK LAKE,CROOK
2023 06 JUNE,EAGLE LAKE RBT,156,8.6,FAIRGROUNDS POND 1,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,499,8.6,FAIRGROUNDS POND 2,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,199,8.6,FAIRGROUNDS POND 3,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,160798,8.4,FLAMING GORGE RESERVOIR,SWEETWATER
2023 06 JUNE,EAGLE LAKE RBT,23871,7.8,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,EAGLE LAKE RBT,10200,7.9,FREMONT LAKE,SUBLETTE
2023 06 JUNE,EAGLE LAKE RBT,3008,9.2,FRYE LAKE,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,330,7.7,H DIAMOND W POND,HOT SPRINGS
2023 06 JUNE,EAGLE LAKE RBT,1014,8.2,HANGING LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,499,8.6,HOMESTEADER PARK POND,PARK
2023 06 JUNE,EAGLE LAKE RBT,1016,8.8,HUCK FINN POND,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,350,8.4,MAVRAKIS FISHING POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,1508,7.8,MEADOWLARK LAKE,BIG HORN
2023 06 JUNE,EAGLE LAKE RBT,70,7.9,MIDDLE FORK POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,2472,8.3,NEW CODY RESERVOIR,PARK
2023 06 JUNE,EAGLE LAKE RBT,2503,8.6,OWEN LAKE,ALBANY
2023 06 JUNE,EAGLE LAKE RBT,401,8.4,PANTHER POND,CAMPBELL
2023 06 JUNE,EAGLE LAKE RBT,499,9.2,PETE'S POND,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,275,7.9,PINES LODGE POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,66,8.5,PINEY CRUISE DITCH,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,350,8.4,RANCHESTER CITY POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,386,9.1,SCOUT POND,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,100,8.4,SHERIDAN FAIRGROUND POND,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,2239,8.4,SIBLEY LAKE,SHERIDAN
2023 06 JUNE,EAGLE LAKE RBT,150,8.4,SOLDIERS SAILORS POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,55,7.9,SOUTH FORK INN POND,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,104,9,STATE SCHOOL POND,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,486,8.5,SUNDANCE FAIRGROUND POND,CROOK
2023 06 JUNE,EAGLE LAKE RBT,4400,7.9,TIE HACK RESERVOIR,JOHNSON
2023 06 JUNE,EAGLE LAKE RBT,1105,9.5,TORREY CREEK,FREMONT
2023 06 JUNE,EAGLE LAKE RBT,624,8.5,YESNESS POND,NATRONA
2023 06 JUNE,FALL RAINBOW,995,5.3,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,FALL RAINBOW,501,5.1,BLUE DOWNEY PARK RES,CONVERSE
2023 06 JUNE,FALL RAINBOW,351,11.4,BOULDER LAKE,SUBLETTE
2023 06 JUNE,FALL RAINBOW,10555,7.6,BROOKS LAKE,FREMONT
2023 06 JUNE,FALL RAINBOW,1502,9.1,DOLLAR LAKE,SUBLETTE
2023 06 JUNE,FALL RAINBOW,305,4.9,DUCK POND,SHERIDAN
2023 06 JUNE,FALL RAINBOW,452,9.1,FALL CREEK (BLW BURNT LK),SUBLETTE
2023 06 JUNE,FALL RAINBOW,203102,4.7,FLAMING GORGE RESERVOIR,SWEETWATER
2023 06 JUNE,FALL RAINBOW,500,11.4,HALFMOON LAKE,SUBLETTE
2023 06 JUNE,FALL RAINBOW,1153,9,HEROLD'S POND,CARBON
2023 06 JUNE,FALL RAINBOW,100,11.4,KEMMERER COMMUNITY POND,LINCOLN
2023 06 JUNE,FALL RAINBOW,6138,7.6,LOUIS LAKE,FREMONT
2023 06 JUNE,FALL RAINBOW,561,7.2,LOWER DEEP GULCH POND,CARBON
2023 06 JUNE,FALL RAINBOW,802,9,LYMAN CITY POND,UINTA
2023 06 JUNE,FALL RAINBOW,420,9.1,MARBLETON TOWN POND,SUBLETTE
2023 06 JUNE,FALL RAINBOW,15000,8.9,NEW FORK LAKE LOWER,SUBLETTE
2023 06 JUNE,FALL RAINBOW,561,7.2,RENDLE BUTTE RESERVOIR,CARBON
2023 06 JUNE,FALL RAINBOW,2963,6.5,SAVERY CREEK,CARBON
2023 06 JUNE,FALL RAINBOW,22000,4.6,SHOSHONE RIVER WILLWOOD DAM TO MORMON DAM,PARK
2023 06 JUNE,FALL RAINBOW,60,9.1,SYLVAN POND #1,SUBLETTE
2023 06 JUNE,FALL RAINBOW,60,9.1,SYLVAN POND #2,SUBLETTE
2023 06 JUNE,FALL RAINBOW,12320,3.5,TRAIL LAKE,FREMONT
2023 06 JUNE,FALL RAINBOW,561,7.2,WILD COW CREEK RESERVOIR,CARBON
2023 06 JUNE,FALL RAINBOW,6505,6.8,WORTHEN MEADOWS RESERVOIR,FREMONT
2023 06 JUNE,FLANNELMOUTH SUCKER,125,0,MUDDY CREEK (LOWER),CARBON
2023 06 JUNE,KOKANEE SALMON,677715,3.1,FLAMING GORGE RESERVOIR,SWEETWATER
2023 06 JUNE,KOKANEE SALMON,72477,3.3,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,KOKANEE SALMON,4937,3,HATTIE LAKE,ALBANY
2023 06 JUNE,KOKANEE SALMON,45048,2.8,HENRYS FORK RIVER (SWEETWATER),SWEETWATER
2023 06 JUNE,KOKANEE SALMON,16524,3.2,HIGH SAVERY RESERVOIR,CARBON
2023 06 JUNE,KOKANEE SALMON,6580,3.6,LOUIS LAKE,FREMONT
2023 06 JUNE,KOKANEE SALMON,11013,3,PATHFINDER RESERVOIR,NATRONA
2023 06 JUNE,SNAKE RIVER CUTTHROAT,975,12.9,BIG SANDY RIVER (RES TO BUCKSKIN CROSSING),SUBLETTE
2023 06 JUNE,SNAKE RIVER CUTTHROAT,500,5.5,BULL CREEK,SHERIDAN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,440,9.7,DIAMONDVILLE POND,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,181,11.3,FONTENELLE RESERVOIR,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,200,9.6,GOLF COURSE POND,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,800,17.5,JIM BRIDGER POND,SWEETWATER
2023 06 JUNE,SNAKE RIVER CUTTHROAT,825,9.7,KEMMERER COMMUNITY POND,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,1476,10,MURPHY LAKE LOWER,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,1247,10.6,R PARK POND,TETON
2023 06 JUNE,SNAKE RIVER CUTTHROAT,329,9.7,STRAWBERRY RESERVOIR,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,50,17.4,SWIFT CREEK RESERVOIR LOWER,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,650,9.5,SWIFT CREEK RESERVOIR UPPER,LINCOLN
2023 06 JUNE,SNAKE RIVER CUTTHROAT,2999,5.5,TONGUE RIVER NORTH,SHERIDAN
2023 06 JUNE,SPLAKE,2715,4.9,PARK RESERVOIR,SHERIDAN
2023 06 JUNE,TIGER TROUT (BKT X BNT),9115,4,HIGH SAVERY RESERVOIR,CARBON
2023 06 JUNE,TIGER TROUT (BKT X BNT),3302,3.6,JIM BRIDGER POND,SWEETWATER
2023 06 JUNE,TIGER TROUT (BKT X BNT),9105,3.8,LOWER SUNSHINE RESERVOIR,PARK
2023 06 JUNE,TIGER TROUT (BKT X BNT),2517,3.6,SARATOGA LAKE,CARBON
2023 06 JUNE,WALLEYE,297650,1.5,GRAYROCKS RESERVOIR,PLATTE
2023 06 JUNE,WALLEYE,325500,1.5,OCEAN LAKE,FREMONT
2023 06 JUNE,YELLOWSTONE CUTTHROAT,164,9.4,ARROWHEAD POND,SHERIDAN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,438,9.4,BEAR LODGE POND,SHERIDAN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1616,8.3,BEARTOOTH LAKE,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1003,9.2,HUCK FINN POND,ALBANY
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1539,7.9,ISLAND LAKE,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,200,8.5,KITTY CREEK POND,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,55,9.2,LIFE MUD RESERVOIR,BIG HORN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1026,7.9,LILY LAKE,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1254,7.9,LONG LAKE,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,1269,8.5,MARKHAM RESERVOIR,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,217,9.4,MEDICINE WHEEL RS POND  ,BIG HORN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,2259,8.4,NEW CODY RESERVOIR,PARK
2023 06 JUNE,YELLOWSTONE CUTTHROAT,360,9.4,OWEN CREEK,SHERIDAN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,255,9.2,RYAN PARK POND,CARBON
2023 06 JUNE,YELLOWSTONE CUTTHROAT,329,9.4,SHELL RANGER STATION POND,BIG HORN
2023 06 JUNE,YELLOWSTONE CUTTHROAT,2801,9.4,UPPER MEDICINE LODGE LAKE,BIG HORN
2023 05 MAY,BEAR RIVER CUTTHROAT,324,15.5,BECK LAKE,PARK
2023 05 MAY,BEAR RIVER CUTTHROAT,2704,5.2,BEN RESERVOIR,UINTA
2023 05 MAY,BEAR RIVER CUTTHROAT,150,11.3,DESMET LAKE,JOHNSON
2023 05 MAY,BEAR RIVER CUTTHROAT,2134,5.3,MURRAY RESERVOIR,UINTA
2023 05 MAY,BEAR RIVER CUTTHROAT,2073,10.5,UP ICE POND LOWER,UINTA
2023 05 MAY,BROOK TROUT,510,4.2,A&M RESERVOIR,SWEETWATER
2023 05 MAY,BROOK TROUT,999,4.1,CAMEL HUMP RESERVOIR,NATRONA
2023 05 MAY,BROOK TROUT,2006,4.2,CROW RESERVOIR UPPER NORTH ,LARAMIE
2023 05 MAY,BROOK TROUT,15448,4,DIAMOND LAKE,CARBON
2023 05 MAY,BROOK TROUT,503,4.1,GREASEWOOD RESERVOIR,NATRONA
2023 05 MAY,BROOK TROUT,9323,3.6,KORTES RESERVOIR,CARBON
2023 05 MAY,BROOK TROUT,2006,4.2,LEAZENBY LAKE,ALBANY
2023 05 MAY,BROOK TROUT,513,4.5,MACINTOSH #2 POND ,FREMONT
2023 05 MAY,BROOK TROUT,2028,3.8,MEDICINE LAKE,CROOK
2023 05 MAY,BROOK TROUT,100,4,NORTH SAYLES RESERVOIR 2,JOHNSON
2023 05 MAY,BROOK TROUT,200,4,NORTH SAYLES RESERVOIR 3,JOHNSON
2023 05 MAY,BROOK TROUT,503,4.1,PETRO #1 RESERVOIR,NATRONA
2023 05 MAY,BROOK TROUT,507,4.1,SALTBUSH RESERVOIR,NATRONA
2023 05 MAY,BROOK TROUT,400,4,SOUTH SAYLES RESERVOIR  1,JOHNSON
2023 05 MAY,BROOK TROUT,255,4.1,WATERTANK RESERVOIR,NATRONA
2023 05 MAY,BROWN TROUT,22550,3.3,BIG SANDY RESERVOIR,SWEETWATER
2023 05 MAY,BROWN TROUT,16250,3.4,BIG SANDY RIVER (GASSON BRIDGE - 1 MI ABV BONE DRAW),SWEETWATER
2023 05 MAY,BROWN TROUT,200,6.5,BLUE CR(BELOW SINKS),JOHNSON
2023 05 MAY,BROWN TROUT,216,3.6,CCC POND,SUBLETTE
2023 05 MAY,BROWN TROUT,22367,3.6,FLAMING GORGE RESERVOIR,SWEETWATER
2023 05 MAY,BROWN TROUT,15120,3.6,SODA LAKE,SUBLETTE
2023 05 MAY,COLORADO RIVER CUTTHROAT,7839,7,HIGH SAVERY RESERVOIR,CARBON
2023 05 MAY,COLORADO RIVER CUTTHROAT,450,10.4,MERNA (PARKS) POND,SUBLETTE
2023 05 MAY,COLORADO RIVER CUTTHROAT,250,12.1,MOUNTAIN VIEW POND,UINTA
2023 05 MAY,COLORADO RIVER CUTTHROAT,1997,6.7,WALKER JENKINS LAKE,CARBON
2023 05 MAY,EAGLE LAKE RBT,998,8.9,A&M RESERVOIR,SWEETWATER
2023 05 MAY,EAGLE LAKE RBT,750,8.8,ANTELOPE SPRINGS RESERVOIR,FREMONT
2023 05 MAY,EAGLE LAKE RBT,200,8.8,BAIROIL KIDS POND,FREMONT
2023 05 MAY,EAGLE LAKE RBT,1960,8,BECK LAKE,PARK
2023 05 MAY,EAGLE LAKE RBT,1091,9.1,BIG BEND POND #2,FREMONT
2023 05 MAY,EAGLE LAKE RBT,525,9.1,BIG BEND POND #4,FREMONT
2023 05 MAY,EAGLE LAKE RBT,1551,9.1,BIG BEND POND #5,FREMONT
2023 05 MAY,EAGLE LAKE RBT,775,9.1,BIG BEND POND #6,FREMONT
2023 05 MAY,EAGLE LAKE RBT,125,8.2,BIG GOOSE CR(2 BEAVER CR),SHERIDAN
2023 05 MAY,EAGLE LAKE RBT,329,7.1,BILLY CREEK RESERVOIR,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,1700,7.6,BLACK HILLS POWER AND LIGHT RESERVOIR,WESTON
2023 05 MAY,EAGLE LAKE RBT,2737,7.7,BRYAN STOCK TRAIL POND (LAKE MAKENZIE),NATRONA
2023 05 MAY,EAGLE LAKE RBT,350,8.2,BUFFALO WETLANDS POND,JOHNSON
2023 05 MAY,EAGLE LAKE RBT,1498,8.8,BURLINGTON RESERVOIR,FREMONT
2023 05 MAY,EAGLE LAKE RBT,850,7.6,C B & Q RESERVOIR,WESTON
2023 05 MAY,EAGLE LAKE RBT,2001,8.1,COOK LAKE,CROOK
2023 05 MAY,EAGLE LAKE RBT,752,7.9,CROW RESERVOIR LOWER N,LARAMIE
2023 05 MAY,EAGLE LAKE RBT,7200,8.2,CRYSTAL RES,LARAMIE
2023 05 MAY,EAGLE LAKE RBT,1634,6.6,DONNA RES,CAMPBELL
2023 05 MAY,EAGLE LAKE RBT,1202,8.2,EAST IRON CREEK RESERVOIR,WESTON
2023 05 MAY,EAGLE LAKE RBT,753,7.9,ELK MOUNTAIN RES,CARBON
